Week,Series,Value,Lower,Upper,IsFuture
2022-09-04,Actual,607392.57,,,0
2022-09-11,Actual,1131755.59,,,0
2022-09-18,Actual,1011189.74,,,0
2022-09-25,Actual,1110706.16,,,0
2022-10-02,Actual,1077859.73,,,0
2022-10-09,Actual,1109731.06,,,0
2022-10-16,Actual,1195274.33,,,0
2022-10-23,Actual,1117462.31,,,0
2022-10-30,Actual,1078101.06,,,0
2022-11-06,Actual,1096634.77,,,0
2022-11-13,Actual,1095981.95,,,0
2022-11-20,Actual,1062847.8,,,0
2022-11-27,Actual,1003956.37,,,0
2022-12-04,Actual,1107471.94,,,0
2022-12-11,Actual,1098293.61,,,0
2022-12-18,Actual,1111890.31,,,0
2022-12-25,Actual,1096865.0,,,0
2023-01-01,Actual,1175426.93,,,0
2023-01-08,Actual,1046820.98,,,0
2023-01-15,Actual,1166637.01,,,0
2023-01-22,Actual,1066873.74,,,0
2023-01-29,Actual,1050048.82,,,0
2023-02-05,Actual,1033408.87,,,0
2023-02-12,Actual,1047090.4,,,0
2023-02-19,Actual,1071454.74,,,0
2023-02-26,Actual,1192712.24,,,0
2023-03-05,Actual,1019516.67,,,0
2023-03-12,Actual,1126995.33,,,0
2023-03-19,Actual,1085500.45,,,0
2023-03-26,Actual,1082193.87,,,0
2023-04-02,Actual,1015313.59,,,0
2023-04-09,Actual,1118249.51,,,0
2023-04-16,Actual,1188795.54,,,0
2023-04-23,Actual,1131818.21,,,0
2023-04-30,Actual,1118009.89,,,0
2023-05-07,Actual,1098490.0,,,0
2023-05-14,Actual,1030820.01,,,0
2023-05-21,Actual,1142469.45,,,0
2023-05-28,Actual,1006323.86,,,0
2023-06-04,Actual,1071981.66,,,0
2023-06-11,Actual,1085359.8,,,0
2023-06-18,Actual,1088128.81,,,0
2023-06-25,Actual,1073235.87,,,0
2023-07-02,Actual,1115824.52,,,0
2023-07-09,Actual,1080702.04,,,0
2023-07-16,Actual,1067449.85,,,0
2023-07-23,Actual,1058908.29,,,0
2023-07-30,Actual,1085336.81,,,0
2023-08-06,Actual,1124181.96,,,0
2023-08-13,Actual,1069792.56,,,0
2023-08-20,Actual,1142969.73,,,0
2023-08-27,Actual,1109328.81,,,0
2023-09-03,Actual,1124610.71,,,0
2023-09-10,Actual,1146562.9,,,0
2023-09-17,Actual,1090668.34,,,0
2023-09-24,Actual,1124350.3,,,0
2023-10-01,Actual,1078808.27,,,0
2023-10-08,Actual,1089710.26,,,0
2023-10-15,Actual,1122724.0,,,0
2023-10-22,Actual,1175466.26,,,0
2023-10-29,Actual,1032481.62,,,0
2023-11-05,Actual,1043500.45,,,0
2023-11-12,Actual,1087772.65,,,0
2023-11-19,Actual,1032912.7,,,0
2023-11-26,Actual,1009714.18,,,0
2023-12-03,Actual,1064169.8,,,0
2023-12-10,Actual,1130556.16,,,0
2023-12-17,Actual,1066160.81,,,0
2023-12-24,Actual,1033128.31,,,0
2023-12-31,Actual,1145016.87,,,0
2024-01-07,Actual,1127915.05,,,0
2024-01-14,Actual,1124639.65,,,0
2024-01-21,Actual,1175460.84,,,0
2024-01-28,Actual,1103913.15,,,0
2024-02-04,Actual,1065925.86,,,0
2024-02-11,Actual,1096628.24,,,0
2024-02-18,Actual,1026675.95,,,0
2024-02-25,Actual,1044102.01,,,0
2024-03-03,Actual,1151487.02,,,0
2024-03-10,Actual,1069057.67,,,0
2024-03-17,Actual,1206524.13,,,0
2024-03-24,Actual,1086827.14,,,0
2024-03-31,Actual,1009021.15,,,0
2024-04-07,Actual,1024850.22,,,0
2024-04-14,Actual,1115905.43,,,0
2024-04-21,Actual,1153170.58,,,0
2024-04-28,Actual,1073626.97,,,0
